essay_id,full_text,score
a4c252e,"Humans. One of the many smart species on planet earth. The species that seems to think they can do anything, including going to Venus. Although Venus is highly dangerous with its high temperatures and extreme clouds of carbon dioxide, it is a worthy pursuit that could be a great benefit for the knowledge of anybody living on earth.

The information that could be gathered is rather incredible. Already this world knows a few features Venus holds, ""The planet has a surface of rocky sediment and includes familiar features such as valleys, mountains, and craters."" It is so amazing to think that already we have this idea of a planet. With hard work and dedication it could be valuble, to further investigate our sister planet. Even though the conditions the planet are critical, we know the dangers. There is a benefit to the planet, ""Solar power would be plentiful, and radiation would not exceed Earth levels. Not easy conditions, but survivable for humans."" The author knows what to say, because they know that the conditions are harsh. And great reward the sccientists recieve what they would need from this raging planet.

The value of this planet is not known only because there is not enough strive to make it happen. The ""human curiosity"" is what leads this planet to greatness. Scientist that want this mission, have to be willing to do whatever it takes for knowledge. They have to ""get up close and personal despite the risks."" Those risks will lead to everything that a scientist could hope for. There is no reason to not believe the author when they say the mission will be worth your while. Only because there is something magnificent about that planet so similar to ours. the author so confidently states, ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation."" They so beautifully say what is needed. Imagaination and the need to innovate, for future greatness, is so important for the challenges ahead. Although this world still has unknown factors, finding out incredible things about Venus could change science, and could change the world itself.

Venus is our sister planet, one of the closest to us. How has our natural kick for curiosity not taken over? Humans always want to know everything. Making it clear, there is no point in just letting this fantastic adventure wait. Danger is always a component in exploring something new, that is why humans are knowledgable and powerful. So scientist should not hold back, they need to bring all their smarts to this adventure, and really make something great. It could result in the most indulging finds.            ",4
a60e958,"In the future, we think about things that may be invented. Maybe a robot assistant, or somthing that involves great technology and knowledge. Some people have had a vision or have had inventions that have been created. Not many people think that some of these invetions are entirely safe, such as driverless cars. Driverless cars are safe. This can be observed by facts, technology, and manufacturing. First, driverless cars are stated to be safe, you can look at facts that represent that. Although the cars are not entirely supported with facts, they are still included. Google has used driverless cars since 2009. Their cars have driven half a million miles without a crash. This is a strong fact that driverless cars a very safe. Second, technology is a big part of safety in driverless cars. However technology may not be able to control everything, it is a extremly helpful. Driveless cars a progamed to know where they are going and how to get there. The know how to not back into object or other cars on the road. Sebastian Thrun, founder of the Google Car project, believes that the technology has finally begun to catch up to the dream of antilock breaks and driver assistance. There is still a lot of technology ahead in making these cars into something even bigger. Last manufacturing plays a big role in the safety of these driverless cars. In 2013, BMW announced the development of ""Traffic Jam Assistant."" Car manufactures have designed the car to notify the driver when the road ahead requires human skills, such as navigating through works zones and arounds accidents. No cars have been invented that are completely driverless. but I think in the futures manufatures can make that happened. Driverless cars are in fact safe. You can see from the facts, technology, and manufacturing. I recommend you to read the article, ""Driverless Cars are Coming,"" and read even more facts about how these cars are safe.",3
6b02148,"The author did alright at supporting his idea (studying Venus is a worthy pursiut despite the dangers). There are some things that the author explained well and others where he didn't defend his case. When reading this it will seem questionable if this is something to go off of.

When the author was explaining his thought on this he made a convincing argument. He told some simularitys between Venus and Earth. ""Often referred to as Earths ""twin"", Venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too."" Venus and Earth are very alike in terms of aperance. The author uses a point that Venis is close to Earth that it makes it easier to travel there. ""These differences in speed mean that sometimes we are closer to mars and other times to venus."" Being closer to Venus would make the trip there easier then to most other planets.

There are also some things in this topic that the author doesn't go into. He tells you that it is dangerous to be on the planet. ""On the planet's surface, temperatures average over 800 degrees fahrenheit, and the atmospheric pressure is 90 times greater than what we experience on our own planet."" This tells you it is not safe to be on Venus but to study it better we would need to get up there to know what it is like to be there and we don't know how to get there alive. Why would studying Venus be worthy if the atmosphere is dangerous? ""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus. Even more challenging are the clouds of highly corrosive sulfuric acid in venus's atmosphere."" It doesn't seem that worthy of exploring if you can even survive on Venus.

there are good reasons and bad reasons for studying Venus. Overall the author did an ok job supporting his idea.",3
6c9f26e,"Have you ever heard of Seagoing Cowboys? Well a i'm a Seagoing Cowboy, I help out people that have fell in the ruins. I have shiped a lot of horses, young cows, and mules over the Alantic and sometimes the Pacific. We ship the animals over the sea to help a lot of people. You should join the UNRRA to help other people out, to change their lives.

We think all cowboys should join the UNRRA so we could make people have a better life then be poor. When you help people out you feel extrodinary. Some people say once you help some out you make you day.

I have been to across the Atlantic ocean 16 times and i have been across Pacific once. I still want to go but I have cracked ribs from an accident but it is worth helping others. I feel so great on helping other.

It is a one in a lifetime expireience it takes a month to get to China. It might take a while but it is like you never left because you still feed the cows and horses. The plus to this is you to explore preety places in China and Europe. You get to expirence something you probably have never expirenced before.

These are some reasons why to be a Seagoing Cowboy. I belive that you have a great time. Dont mis this chance because if you do you wont expirence any thing that i did. Helping other people out is something everybody should do for a iving. Helping at least someone could make a hugmungas change.",3
29b872f,"As we all know cars are a big part of our society today. However cars have a bigger impact than we think. Some people can't live without there car. Some people can go their whole life without a car. We may not think about it however there are multiple advantages to not using a car. When we limit our car use it saves the earth also it i said that it takes away a heap load of stress and it saves people money. Just think about it, one day without the use of cars. How would that be?

We we think of saving the earth we think of recycling, reusing things, and reducing. Did you know that passenger cars are responsible for 12 percent of greenhouse gases and up to 50 percent in some car intensive areas in the United States.(According to ""In German Surburb, Life Goes On Without Cars"" By: Elisabeth Rosenthal). In Paris there pollution was almost record setting and so they ordered that even-numbered license plates leave their cars at home or pay a fine of $31. Almost 4000 drivers were fined that day  and 27 got their cars impounded. Most of the cars in Paris are diesel ran so the smog is worse. If they would cut down on their car use it would lower the smog.

You might not think of it but if we limited the use of cars it relieves stress. According to ""In German Suburb, Life Goes on Without Cars"", In Vauban, Germany they have given up their cars. Vaubans streets are completly car free. 70 percfent of Vauban's families do not own cars ansd 57 percent sold a car to move there. Heidrun Walter said""When I had a car I was always tense. Im much happierthis way"". According to ""Car-free dat in spinning into a big hit in Bogota"" by Andrew Selsky in Bogota,Columbia they have been without cars for 3 years. Also Carlos Arturo Plaza said ""It's a good opportunit totake awat stresss and lower the air pollution"".

According to ""The End of Car Culture"" by: Elisabeth Rosenthal recent studies show that Americans are buying fewer cars, driving less and getting fewer licences as each year goes by. The number of miles driven in the United States  peaked in 2005 and dropped steadily afterwards, according to an analysis by Doug Short of Adivor Perspectives. People who stopped driving there cars as a result of hard times may not find a reason to go back to driving if they are saving money.

So I believe that they're many reason to have a car. However they're many advantages to limiting your car use. You can think of yourself as doing a good deed to the earth when walking somewhere or riding your bike are catching the bus. You can have a clear mind and seize stressing so much. Also you can save money I think that everybody likes to save money one way or another. Instead of drivng your car to the mall you can save that money and catch the bus to the mall and buy that new purse that you have been dying to get.    ",4
ad2f95c,"The new technology that Dr. HUANG is coming up with is a good idea because I can detect when people in the classroom are trying to hide therre feeing.

In the text it states that

At least according to some new computer software that can recognize emotions. The software is the latest innovation from prof. THOMAS HUANG, of the beckman institute for advanced science at the university of Illinois, working in collaboration with prof. NICU SEBE of the university of amsterdam. Dr. HUANG and his colleague are experts at developing better ways for humans and computers to communicate. The MONA LISA demonstration is really intended to bring a smile to your face, while it showa just how much this computer can do. Imagne a computer that knows when you're happy or sad. For example if you smile when a web ad appears on your screen, a similar ad might follow. But if you frown, the next ad will be different. a classroom computer could recognize when a student is becoming confused or bored.     ",1
0aae146,"The Electoral College is a system which was established to elect the president of the United States of America. In this system, each state receives a group of electors. The number of electors each state is awarded is based on the representation a state has in Congress. The total number of electors per state equals the number of people a state has in the House of Representative plus the two senators a state has. In a state, the electors pledge to vote for the candidate who wins the popular vote. This system is simply unneeded in modern times and is unneccesarily complicated. The Electoral College must be abolished.

To commence, the Electoral College should be eradicated because it is simply unreliable. The result of a direct election would be more transparent and would make the citizens of this country certain the election was democratic and just. The issue lies in the fact that voters are technically only voting for electors to cast a vote for a candidate, and not for a candidate themselves. These electors pledge to vote in favor of the candidate who rightly wins the popular vote in a state, but some attempt to be defiant. For instance, according to Bradford Plumer's article, ""Back in 1960, segregationists in the Lousiana legislature nearly succeeded in replacing the Democratic electors with new electors who would oppose John F. Kennedy"" (11). If the Lousiana legislature was successful in their attempt to be defiant, electoral votes would not go to Kennedy despite him winning the popular vote in that state. Another way in which the Electoral College is unreliable is that it allows for a tied vote. There are 538 electoral votes in the system currently in use, meaning it is possible for two candidates to receive 269 votes each. This may seem unlikely, but it is more likely to occur than some might think. For instance, as according to Plumer's aforementioned article, an electoral tie would have occured in 1968 if only 41,971 more votes were for the losing candidate. Additionally, in the 1976 election, if 5,559 voters in the swing state of Ohio, and 3,687 voters in Hawaii had simply voted in favor of the candidate with the minority of the votes, a tie would have occured. In order to resolve a tie, the House of Representatives casts votes to decide the winner of the election. At this point, the impact of each representative is skewed so representatives of states with lower population can more easily decide the state's vote. This happens because each state only votes once, so the few representatives of a small state such as Nebraska can decide who to vote for rather easily, while in California, 55 representatives with different views must colloborate to cast a single vote. With so much unreliability, why is the outdated system of the Electoral College still in use?

Furthermore, the Electoral College must be abolished because it does not properly refelct the views of the nation. Citizens' wishes will not always be equivalent to what the electors vote for. This occurs partly because of the winner-take-all system. In this system, the winner of the popular vote in an individual state wins all of the electoral votes a state has. According to the Office of the Federal Register, all but two states use this system. These two states are Nebraska and Maine. As a result of the winner-take-all system, it is possible that a presidential candidate loses the overall popular vote, but wins more electoral votes and thus wins the election. This occurance happened in the infamous 2000 election, when Al Gore won the popular vote but lost to George W. Bush by a mere five electoral votes. If the public indicated they wanted Al Gore as president, why should Bush have won due to this unfair system? It simply doesn't make sense. The winner-take-all system also results in political campaigns to focus their efforts in only certain regions. Some states very predictably vote either for the Republican candidate or for the Democratic candidate. Take Texas, for instance, which has traditionally always voted red. A Democratic candidate knows he should not focus his campaign in Texas, because he realizes his best efforts won't allow him to win the popular vote there and thus win the electoral votes. Because of the tendencies of certain states, many electoral votes are practically predetermined. The states which do not typically only vote in favor of one side are labelled ""swing states"". With the way the Electoral College works, the few states which are a toss-up carry the most weight. Presidential candidates will usually spend most of their time in these swing states, and very little time in others. For example, in the 2000 election, seventeen states were not visited by either candidate. Supporters of the Electoral College view the disproportional focus of campaigns as a positive. According to Richard A. Posner's article in favor of this corrupt system, ""The Electoral College restores some of the weight in the political balance that large states lose by virtue of the mal-apportionment of the Senate decreed in the Constituion..."" (21). While it might seem reasonable for larger states to have a larger impact than smaller states, it simply isn't a fair way to go about having an election. Voters should each have the same impact, and they would have exactly that in a direct election. Presently, voters in Florida, for instance, have more impact on the election than a voter in Wyoming. Supporters also claim the focus on swing states is beneficial because residents of swing states should be more politically informed due to their state's importance in the election. This notion is simply a fabrication in order to make the Electoral College seem as if it causes America to be more informed, because there would be no need for residents of specific states to pay closer attention to candidates than residents of others if a direct election were to take place. The Electoral College does not properly reflect the desire of the nation's population, and thus should be replaced.

In retrospect, the Electoral College must be abolished. It is an inherently unfair system and it does not reflect the views of American voters.                              ",6
3e9f3ea,"To me driverless cars are just the newest fad. I don't think that they are going to be as great as they are made out to be. If anything, they are counterproductive, and we are going to be taking steps backwards. They are a solid idea in concept, but doesn't mean that pertains when it's actually created.

As a whole, humans have progressively become more dependent on technology. Whether with computers, iPhones, or just in general we are allowing machines to do the work for us. As a result, we as humans have lost our ability to function by ourselves, and are dependent on the things we've created. Driverless cars are just a step closer to complete reliance on technology. And they are closer to being developed and sold now more than ever. Car manufacturers are already making prototypes and test-driving.

If driverless cars take over, where's the fun in having a car? The author even argues, ""Why would anyone want a driverless car that still needs a driver? Wouldn’t drivers get bored waiting for their turn to drive?"",""Some manufacturers hope to do that by bringing in-car entertainment and information systems that use heads-up displays.""(Section 8)

The whole point of buying one is to drive it around and show it off. If can't even use it for its purpose, then there's really no difference between a self-driving car, and taking public transportation. Either way, you're not in control of the automobile.

At the moment, driverless cars are still dependent on a person to take over in certain situations. ""The car can handle driving functions at speeds up to 25 mph, but special touch sensors make sure the driver keeps hold of the wheel. In fact, none of the cars developed so far are completely driverless. They can steer, accelerate, and brake themselves, but all are designed to notify the driver when the road ahead requires human skills, such as navigating through work zones and around accidents. ""(Section 7) This means that while the majority of the work is done by the car, the driver still has to be alert while driving, and pay attention to when they need to take over. I personally think that that's as far as ""driverless cars"", or just cars in general should go. I don't see the upside to not having to focus on the road other than pure laziness and dependence on technology.

Whether this is the next big thing or not, driverless cars concern me. They don't seem like the right approach to driving. People are already texting and driving because they can't bare to part with their technology. All driverless cars are going to do is promote this dependence on technology, both because texting and driving will no longer be a problem, so people can stay on their phones longer, and because they will no longer have to drive for themselvs. Technological advances in some fields are better than in others. Everything in moderation. Even the best things.            ",4
2523ddd,"Have you seen or heard about the Face on Mars. You probably have on its been starred in a Hollywood film, appeared in books, magazinesw, radio talk shows, even in grocery store checkouts lines for 25 years! NASA is researching this closely. The Face is just a natural landform because how would aliens make a face in the middle of Mars? Why would they? In Mars there's all sort of natural landforms so who knows?

How would aliens make a face in Mars? Why? I don't know either its kind of seems impossible. Aliens might have step on it to make it look like a Face but they would have made it on purpose. To me it does look like an Egyptian Pharaoh but back then they were barely finding out what Mars was or didn't even know about Mars. On April 5, 1998 the Mars Global Surveyor flew over to Cydonia they took pictures then times sharper than the original pictures, then when the image first appeared on a JPL website, revealing it was a natural landform. There was no alien manument after all.

In Mars theres all sort of natural landforms created by Mars weather that makes landforms look cool and interesting. When NASA send viking 1 it was circling the planet getting phtos of possible landing sites for its sister ship Viking 2, when it spotted the shadowy likeness of a human face. Thats when NASA started reseaching it. In April 5, 1998, it was proven that it was just natural landform. Through the years the face starts cracking and fading away because of the weather. The weather of Mars is usually unpredictable, but usually cold. Also the wind in Mars is pretty commen and it makes the land look like a lot of weird things!

So Mars makes all type of natural landforms and why would aliens make a face in Mars? How? I dont know either. Its all of about Mars weather that makes this natural landforms, but its mostly the wind. It looks like an Egyption Pharoah but later on it starts disappearing because of the conditions of Mars. So don't let those ""unrealistic"" aliens trick you.           ",3
87e6129,"one reason i think that the face is just natural landform is because it says that viking 1 spacecraft was circling the planet snapping photos of possible landing sites for its sister ship. viking 2, when it spotted the shadowy likeness of a human face. scientists figured it was just another martain mesa, common enought around cydonia, only this one had unusual shadows that made it look like and egyptaian pharaoh.

In the article it says that The ""Face on Mars"" has become a pop icon. The face icon statted in a hollywood film appeared in books, magazines, radio talk shows even haunted grocery store checkout lines for 25 years! Most people belive that face was an alien artifact, photographing cydonia became a priority for NASA when mars global surveyor (MGS)arrived in red planet sept. 1997.

The face on Mars is located at 41 degrees north martian latitude where it was winter in April. Each pixel in the 2001 image spans 1.56 meters compared to 43 meters per pixel in the best 1976 viking photo. So if there were objects in this picture like airplanes on the ground or egyptian style pyramids or even small shacks you could see what they were!    ",2
